Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,45.500000,46.250000,45.250000,46.000000,41.290691,14956600
2016-05-04,46.000000,46.750000,45.750000,46.500000,41.739498,19830600
2016-05-09,46.500000,47.250000,46.250000,47.000000,42.188309,25870900
2016-05-10,47.250000,48.500000,47.000000,48.250000,43.310337,41943300
2016-05-11,47.750000,48.000000,47.250000,47.250000,42.412720,20665500
2016-05-12,48.000000,48.500000,47.500000,48.000000,43.085934,24372700
2016-05-13,48.750000,49.000000,47.750000,48.000000,43.085934,32909200
2016-05-16,48.250000,49.000000,48.000000,49.000000,43.983555,26872600
2016-05-17,49.000000,49.500000,48.250000,49.000000,43.983555,20767700
2016-05-18,49.500000,49.750000,48.250000,49.000000,43.983555,22329100
2016-05-19,49.000000,49.250000,47.750000,48.000000,43.085934,26407700
2016-05-23,48.500000,48.500000,47.750000,48.000000,43.085934,22062200
2016-05-24,48.000000,48.250000,47.500000,47.750000,42.861526,23345500
2016-05-25,48.000000,48.250000,47.750000,48.250000,43.310337,19957100
2016-05-26,48.250000,48.750000,47.750000,47.750000,42.861526,17065600
2016-05-27,48.000000,48.250000,47.500000,48.000000,43.085934,10740700
2016-05-30,48.500000,49.500000,48.000000,49.000000,43.983555,40371200
2016-05-31,49.000000,49.750000,48.750000,49.750000,44.656776,78855200
2016-06-01,50.000000,50.000000,49.000000,49.000000,43.983555,21133400
2016-06-02,49.000000,49.500000,49.000000,49.000000,43.983555,13288200
2016-06-03,49.500000,50.000000,49.250000,49.500000,44.432365,29213000
2016-06-06,49.750000,50.000000,49.250000,49.250000,44.207966,31128300
2016-06-07,49.500000,50.250000,49.250000,50.000000,44.881184,31792500
2016-06-08,50.000000,50.250000,49.750000,49.750000,44.656776,15950000
2016-06-09,50.500000,50.750000,48.500000,48.500000,43.534744,44950100
2016-06-10,48.250000,48.750000,48.000000,48.250000,43.310337,37955400
2016-06-13,48.000000,48.000000,47.500000,47.500000,42.637123,53966800
2016-06-14,47.500000,47.750000,47.500000,47.750000,42.861526,38996500
2016-06-15,48.000000,48.500000,47.750000,48.250000,43.310337,46713100
2016-06-16,48.000000,48.500000,48.000000,48.000000,43.085934,21142900
2016-06-17,48.250000,48.500000,48.000000,48.500000,43.534744,15465800
2016-06-20,48.500000,48.750000,47.500000,48.000000,43.085934,23489100
2016-06-21,48.250000,49.250000,48.000000,49.000000,43.983555,23207500
2016-06-22,49.000000,49.250000,48.250000,48.250000,43.310337,12301400
2016-06-23,48.500000,49.500000,48.250000,49.250000,44.207966,17102900
2016-06-24,48.250000,49.250000,48.000000,49.000000,43.983555,25427700
2016-06-27,48.500000,49.000000,48.250000,49.000000,43.983555,25099900
2016-06-28,49.000000,49.750000,48.750000,49.250000,44.207966,27549900
2016-06-29,49.750000,50.250000,49.500000,49.500000,44.432365,20305900
2016-06-30,50.000000,50.500000,49.750000,50.250000,45.105583,22111100
2016-07-04,50.500000,51.750000,50.500000,51.750000,46.452023,31771500
2016-07-05,51.750000,52.500000,51.250000,51.250000,46.003212,22639500
2016-07-06,51.250000,51.750000,50.750000,51.250000,46.003212,11821600
2016-07-07,51.250000,52.500000,51.250000,51.500000,46.227615,23656600
2016-07-08,51.750000,53.000000,51.500000,53.000000,47.574051,17240000
2016-07-11,52.750000,53.000000,51.750000,51.750000,46.452023,32727800
2016-07-12,51.750000,52.250000,51.500000,52.000000,46.676434,27306900
2016-07-13,52.250000,52.500000,51.750000,52.500000,47.125240,13707800
2016-07-14,52.250000,52.500000,51.750000,52.000000,46.676434,16642100
2016-07-15,52.250000,52.500000,51.750000,51.750000,46.452023,16962500
2016-07-20,51.750000,52.000000,50.500000,50.750000,45.554405,59781100
2016-07-21,50.750000,51.250000,50.750000,51.000000,45.778801,23710100
2016-07-22,51.250000,51.750000,50.750000,51.500000,46.227615,25563200
2016-07-25,52.000000,52.500000,51.750000,52.250000,46.900837,28179600
2016-07-26,52.000000,52.500000,52.000000,52.000000,46.676434,11510300
2016-07-27,52.250000,52.750000,52.250000,52.500000,47.125240,16029600
2016-07-28,52.750000,52.750000,52.000000,52.000000,46.676434,22882500
2016-07-29,52.250000,52.500000,51.500000,51.750000,46.452023,25894100
2016-08-01,52.000000,53.000000,52.000000,52.500000,47.125240,18463600
2016-08-02,52.500000,52.750000,52.000000,52.250000,46.900837,13094400
2016-08-03,51.750000,52.500000,51.000000,52.000000,46.676434,21709100
2016-08-04,52.000000,52.250000,51.750000,52.000000,46.676434,11567600
2016-08-05,52.250000,52.250000,52.000000,52.000000,46.676434,13991400
2016-08-08,53.000000,53.500000,52.750000,53.250000,47.798462,22789400
2016-08-09,53.250000,53.750000,53.250000,53.250000,47.798462,19107800
2016-08-10,53.500000,54.750000,53.500000,54.750000,49.144890,23497000
2016-08-11,56.500000,59.500000,56.500000,59.250000,53.184204,74696700
2016-08-15,58.750000,60.500000,58.500000,59.250000,53.184204,41074500
2016-08-16,59.250000,61.000000,59.000000,60.250000,54.081821,31325500
2016-08-17,60.000000,60.750000,59.250000,59.750000,53.633015,19030200
2016-08-18,59.750000,60.500000,59.500000,60.250000,54.081821,21120400
2016-08-19,60.250000,60.250000,59.750000,60.250000,54.081821,14540100
2016-08-22,60.250000,60.500000,59.750000,60.500000,54.306232,10451900
2016-08-23,59.250000,60.500000,58.750000,59.750000,53.633015,31618900
2016-08-24,59.500000,61.750000,59.500000,60.750000,54.530632,23404700
2016-08-25,61.000000,62.750000,60.750000,62.250000,55.877075,30555300
2016-08-26,62.000000,62.750000,61.750000,62.000000,55.652660,15443100
2016-08-29,61.750000,62.250000,61.500000,61.750000,55.428257,17033000
2016-08-30,62.000000,62.250000,61.250000,61.250000,54.979450,20431300
2016-08-31,61.500000,62.750000,61.250000,62.250000,55.877075,33592100
2016-09-01,62.000000,62.750000,61.500000,61.750000,55.428257,20676800
2016-09-02,62.000000,62.500000,61.750000,61.750000,55.428257,19396000
2016-09-05,62.000000,62.250000,60.250000,60.500000,54.306232,64825300
2016-09-06,60.500000,61.250000,60.250000,60.500000,54.306232,28313600
2016-09-07,60.500000,61.250000,60.250000,60.500000,54.306232,12078300
2016-09-08,60.500000,60.750000,59.000000,59.250000,53.184204,47975200
2016-09-09,59.250000,59.500000,57.000000,57.500000,51.613358,50179700
2016-09-12,57.250000,57.750000,56.750000,56.750000,50.940136,28296000
2016-09-13,57.750000,59.000000,57.750000,58.750000,52.735382,35703100
2016-09-14,58.750000,59.750000,58.500000,58.750000,52.735382,19997700
2016-09-15,59.000000,59.500000,58.500000,59.500000,53.408604,21509500
2016-09-16,58.000000,58.750000,57.750000,58.500000,52.510986,57630900
2016-09-19,58.750000,60.500000,58.750000,60.250000,54.081821,25509900
2016-09-20,60.000000,60.500000,59.500000,60.000000,53.857414,13826700
